Vibe,Station,Track Number,Song
W-11 (Karachi),TAPE A,1,Himesh Reshammiya - Aashiq Banaya
W-11 (Karachi),TAPE A,2,Himesh Reshammiya - Jhalak Dikhla Ja
W-11 (Karachi),TAPE A,3,Udit Narayan - Tu Cheez Badi Hai
W-11 (Karachi),TAPE A,4,Daler Mehndi - Tunak Tunak Tun
W-11 (Karachi),TAPE A,5,Anu Malik - Oonchi Hai Building
W-11 (Karachi),TAPE A,6,Sukhbir - Ishq Tera Tadpave
W-11 (Karachi),TAPE A,7,Himesh Reshammiya - Tera Suroor
W-11 (Karachi),TAPE A,8,Bally Sagoo - Gur Nalo Ishq
W-11 (Karachi),TAPE A,9,Sukhwinder Singh - Chaiyya Chaiyya
W-11 (Karachi),TAPE A,10,Bappi Lahiri - Jimmy Jimmy
W-11 (Karachi),TAPE B,1,Altaf Raja - Tum To Thehre Pardesi
W-11 (Karachi),TAPE B,2,Sonu Nigam - Achha Sila Diya
W-11 (Karachi),TAPE B,3,Kumar Sanu - Jeeta Tha Jiske Liye
W-11 (Karachi),TAPE B,4,Kumar Sanu - Dil Deewana
W-11 (Karachi),TAPE B,5,Mukesh - Kabhi Kabhi Mere Dil Mein
W-11 (Karachi),TAPE B,6,Udit Narayan - Pardesi Pardesi
W-11 (Karachi),TAPE B,7,Kumar Sanu - Mera Dil Bhi Kitna
W-11 (Karachi),TAPE B,8,Altaf Raja - Awara Hawa Ka Jhonka
W-11 (Karachi),TAPE B,9,Udit Narayan - Tere Naam
W-11 (Karachi),TAPE B,10,Pankaj Udhas - Chitti Aayi Hai
W-11 (Karachi),FM 100,1,Strings - Duur
W-11 (Karachi),FM 100,2,Faakhir - Mahi Ve
W-11 (Karachi),FM 100,3,Ali Haider - Purani Jeans
W-11 (Karachi),FM 100,4,Hadiqa Kiani - Boohey Barian
W-11 (Karachi),FM 100,5,Najam Sheraz - In Se Nain
W-11 (Karachi),FM 100,6,Haroon - Mehbooba
W-11 (Karachi),FM 100,7,Sajjad Ali - Babiya
W-11 (Karachi),FM 100,8,Fuzon - Aankhon Ke Sagar
W-11 (Karachi),FM 100,9,Shehzad Roy - Teri Soorat
W-11 (Karachi),FM 100,10,Strings - Dhaani
W-11 (Karachi),FM 89,1,Junoon - Sayonee
W-11 (Karachi),FM 89,2,Awaz - Mr. Fraudiye
W-11 (Karachi),FM 89,3,Vital Signs - Dil Dil Pakistan
W-11 (Karachi),FM 89,4,Noori - Suno Ke Main Hun
W-11 (Karachi),FM 89,5,EP - Hamesha
W-11 (Karachi),FM 89,6,Aaroh - Na Kaho
W-11 (Karachi),FM 89,7,Ali Azmat - Na Re Na
W-11 (Karachi),FM 89,8,Karavan - Dekhade Kahan
