Vibe,Station,Track Number,Song,YouTube URL
W-11 (Karachi),TAPE A,1,Himesh Reshammiya - Aashiq Banaya,http://www.youtube.com/watch?v=19E65tOn3tI
W-11 (Karachi),TAPE A,2,Himesh Reshammiya - Jhalak Dikhla Ja,http://www.youtube.com/watch?v=vnlk8V-q0oU
W-11 (Karachi),TAPE A,3,Udit Narayan - Tu Cheez Badi Hai,http://www.youtube.com/watch?v=ZFZMPjMbvtU
W-11 (Karachi),TAPE A,4,Daler Mehndi - Tunak Tunak Tun,http://www.youtube.com/watch?v=92ydUdqWE1g
W-11 (Karachi),TAPE A,5,Anu Malik - Oonchi Hai Building,http://www.youtube.com/watch?v=gNN7hyUi0To
W-11 (Karachi),TAPE A,6,Sukhbir - Ishq Tera Tadpave,http://www.youtube.com/watch?v=-99Z8E1pOrs
W-11 (Karachi),TAPE A,7,Himesh Reshammiya - Tera Suroor,http://www.youtube.com/watch?v=idNyQkZU2VA
W-11 (Karachi),TAPE A,8,Bally Sagoo - Gur Nalo Ishq,http://www.youtube.com/watch?v=tj9ARZlSj6g
W-11 (Karachi),TAPE A,9,Sukhwinder Singh - Chaiyya Chaiyya,http://www.youtube.com/watch?v=Pxsd0cOCf00
W-11 (Karachi),TAPE A,10,Bappi Lahiri - Jimmy Jimmy,http://www.youtube.com/watch?v=ZUdJQSUcK_Y
W-11 (Karachi),TAPE B,1,Altaf Raja - Tum To Thehre Pardesi,https://www.youtube.com/watch?v=uDkPqtj80Rs
W-11 (Karachi),TAPE B,2,Sonu Nigam - Achha Sila Diya,https://www.youtube.com/watch?v=ezCfd3lQxSM
W-11 (Karachi),TAPE B,3,Kumar Sanu - Jeeta Tha Jiske Liye,https://www.youtube.com/watch?v=rU3XeqS0QBg
W-11 (Karachi),TAPE B,4,Kumar Sanu - Dil Deewana,https://www.youtube.com/watch?v=y7S8y18NqH4
W-11 (Karachi),TAPE B,5,Mukesh - Kabhi Kabhi Mere Dil Mein,https://www.youtube.com/watch?v=S0T-6zWbHkU
W-11 (Karachi),TAPE B,6,Udit Narayan - Pardesi Pardesi,https://www.youtube.com/watch?v=lsgV-mvoGA4
W-11 (Karachi),TAPE B,7,Kumar Sanu - Mera Dil Bhi Kitna,https://www.youtube.com/watch?v=xaoxkLDFgUY
W-11 (Karachi),TAPE B,8,Altaf Raja - Awara Hawa Ka Jhonka,https://www.youtube.com/watch?v=BhoHLNRhZNs
W-11 (Karachi),TAPE B,9,Udit Narayan - Tere Naam,https://www.youtube.com/watch?v=VsYmuAIxqmA
W-11 (Karachi),TAPE B,10,Pankaj Udhas - Chitti Aayi Hai,https://www.youtube.com/watch?v=OwKjQt9QzYM
W-11 (Karachi),FM 100,1,Strings - Duur,http://www.youtube.com/watch?v=NgEQL8UOAG4
W-11 (Karachi),FM 100,2,Faakhir - Mahi Ve,http://www.youtube.com/watch?v=P85sXtTsLQ0
W-11 (Karachi),FM 100,3,Ali Haider - Purani Jeans,http://www.youtube.com/watch?v=16e262jslG0
W-11 (Karachi),FM 100,4,Hadiqa Kiani - Boohey Barian,http://www.youtube.com/watch?v=q2bIHdeMWp8
W-11 (Karachi),FM 100,5,Najam Sheraz - In Se Nain,http://www.youtube.com/watch?v=XFxJsjbJPm0
W-11 (Karachi),FM 100,6,Haroon - Mehbooba,http://www.youtube.com/watch?v=Xt3RibkI6Z4
W-11 (Karachi),FM 100,7,Sajjad Ali - Babiya,http://www.youtube.com/watch?v=mkkNE8y2eJc
W-11 (Karachi),FM 100,8,Fuzon - Aankhon Ke Sagar,http://www.youtube.com/watch?v=xaA85R0CveM
W-11 (Karachi),FM 100,9,Shehzad Roy - Teri Soorat,http://www.youtube.com/watch?v=kNV1LLCPbRs
W-11 (Karachi),FM 100,10,Strings - Dhaani,http://www.youtube.com/watch?v=n7F1U6lP2NY
W-11 (Karachi),FM 89,1,Junoon - Sayonee,https://www.youtube.com/watch?v=A6ZFFH7kzqU
W-11 (Karachi),FM 89,2,Awaz - Mr. Fraudiye,https://www.youtube.com/watch?v=Uf5r-qOO-bQ
W-11 (Karachi),FM 89,3,Vital Signs - Dil Dil Pakistan,https://www.youtube.com/watch?v=ZrPbODIVZ4M
W-11 (Karachi),FM 89,4,Noori - Suno Ke Main Hun,https://www.youtube.com/watch?v=17X21V0Wf24
W-11 (Karachi),FM 89,5,EP - Hamesha,https://www.youtube.com/watch?v=x7nS0t9eG2E
W-11 (Karachi),FM 89,6,Aaroh - Na Kaho,https://www.youtube.com/watch?v=Kk6y_x1Y4_M
W-11 (Karachi),FM 89,7,Ali Azmat - Na Re Na,https://www.youtube.com/watch?v=u96k8q3I9OY
W-11 (Karachi),FM 89,8,Karavan - Dekhade Kahan,https://www.youtube.com/watch?v=2vT6_Yt8lGk
W-11 (Karachi),FM 89,9,Jal - Aadat,https://www.youtube.com/watch?v=9o0xQ3qVlSI
